       0     x:   -8.290    y:    24.932    z:    15.875       30.697     x:   -4.024    y:    26.139    z:   -72.450       77.126 
       0     x:   -8.290    y:    24.932    z:    15.875       30.697     x:   -4.024    y:    26.139    z:   -72.450       77.126 
    5000     x:   -8.571    y:    24.424    z:    16.119       30.493     x:   -4.266    y:    25.634    z:   -72.194       76.728 
   10000     x:   -7.254    y:    25.414    z:    15.155       30.466     x:   -3.005    y:    26.610    z:   -73.236       77.979 
   15000     x:   -6.972    y:    23.221    z:    16.087       29.096     x:   -2.625    y:    24.463    z:   -72.212       76.288 
   20000     x:   -7.422    y:    23.567    z:    14.717       28.760     x:   -3.213    y:    24.813    z:   -73.607       77.743 
   25000     x:   -8.636    y:    23.919    z:    14.015       29.037     x:   -4.345    y:    25.126    z:   -74.326       78.578 
   30000     x:   -8.836    y:    23.635    z:    15.831       29.788     x:   -4.594    y:    24.925    z:   -72.500       76.803 
   35000     x:   -8.321    y:    24.186    z:    14.817       29.559     x:   -4.079    y:    25.400    z:   -73.527       77.898 
   40000     x:   -8.198    y:    25.447    z:    14.209       30.276     x:   -3.931    y:    26.734    z:   -74.182       78.950 
   45000     x:  -10.481    y:    25.855    z:    15.082       31.714     x:   -6.310    y:    27.056    z:   -73.315       78.402 
   50000     x:  -11.679    y:    25.466    z:    15.781       32.155     x:   -7.437    y:    26.725    z:   -72.544       77.667 
   55000     x:  -12.461    y:    27.205    z:    16.951       34.391     x:   -8.286    y:    28.462    z:   -71.375       77.286 
   60000     x:  -13.471    y:    26.549    z:    17.286       34.426     x:   -9.226    y:    27.783    z:   -71.020       76.817 
   65000     x:  -15.090    y:    27.262    z:    16.386       35.205     x:  -10.881    y:    28.429    z:   -71.958       78.132 
   70000     x:  -13.902    y:    26.213    z:    14.789       33.152     x:   -9.758    y:    27.510    z:   -73.619       79.195 
   75000     x:  -15.780    y:    27.707    z:    14.856       35.176     x:  -11.542    y:    28.966    z:   -73.402       79.751 
   80000     x:  -15.135    y:    28.981    z:    15.203       36.057     x:  -10.907    y:    30.214    z:   -73.157       79.898 
   85000     x:  -18.015    y:    27.986    z:    15.112       36.553     x:  -13.755    y:    29.241    z:   -73.233       80.045 
   90000     x:  -16.706    y:    26.434    z:    14.632       34.524     x:  -12.452    y:    27.606    z:   -73.738       79.714 
   95000     x:  -18.927    y:    27.920    z:    15.871       37.278     x:  -14.688    y:    29.114    z:   -72.475       79.473 
