######################
### Initial Values ###
######################
 
Initial temp = 10.0
Initial RMSE =      5.4232421
 
Lets see how it goes!
 
--------------------------------------------------------------------------------------------------------------
     RMSE         delRMSE        BestRMSE     MP_Exponent    MP_Value   MCSA_Temp   decision  
  5.1415064      0.8115825      4.0941728      -0.1651453   8.4777e-01  4.91435       AM     
  4.7675537      -0.3739527     4.0941728      -0.1651453   8.4777e-01  4.86402       AF     
  6.6228713      1.8553176      4.0941728      -0.3853850   6.8019e-01  4.81419       AM     
  6.1051964      -0.5176749     4.0941728      -0.3853850   6.8019e-01  4.76488       AF     
  5.9875990      -0.1175974     4.0941728      -0.3853850   6.8019e-01  4.71607       AF     
  5.7100761      -0.2775229     4.0941728      -0.3853850   6.8019e-01  4.66776       AF     
  5.2701246      -0.4399514     4.0941728      -0.3853850   6.8019e-01  4.61995       AF     
  5.1789827      -0.0911419     4.0941728      -0.3853850   6.8019e-01  4.57263       AF     
  5.0568570      -0.1221257     4.0941728      -0.3853850   6.8019e-01  4.52579       AF     
  5.0568570      1.9572475      4.0941728      -0.4369410   6.4601e-01  4.47943       RM     
  5.1903902      0.1335332      4.0941728      -0.0301188   9.7033e-01  4.43355       AM     
  5.5309273      0.3405371      4.0941728      -0.0776041   9.2533e-01  4.38813       AM     
  5.9801806      0.4492533      4.0941728      -0.1034386   9.0173e-01  4.34319       AM     
  5.1986353      -0.7815453     4.0941728      -0.1034386   9.0173e-01  4.29870       AF     
  5.1361909      -0.0624443     4.0941728      -0.1034386   9.0173e-01  4.25467       AF     
  6.5755942      1.4394033      4.0941728      -0.3418130   7.1048e-01  4.21108       AM     
  5.5105217      -1.0650725     4.0941728      -0.3418130   7.1048e-01  4.16795       AF     
  5.3739949      -0.1365268     4.0941728      -0.3418130   7.1048e-01  4.12526       AF     
  4.3163726      -1.0576224     4.0941728      -0.3418130   7.1048e-01  4.08300       AF     
  4.7467242      0.4303516      4.0941728      -0.1064916   8.9898e-01  4.04118       AM     
  4.7184761      -0.0282481     4.0941728      -0.1064916   8.9898e-01  3.99978       AF     
  4.5714731      -0.1470030     4.0941728      -0.1064916   8.9898e-01  3.95881       AF     
  5.1415747      0.5701016      4.0941728      -0.1454986   8.6459e-01  3.91826       AM     
  5.1078204      -0.0337543     4.0941728      -0.1454986   8.6459e-01  3.87813       AF     
  5.8843619      0.7765415      4.0941728      -0.2023085   8.1684e-01  3.83840       AM     
  6.6816976      0.7973357      4.0941728      -0.2098757   8.1068e-01  3.79908       AM     
  4.4427750      -2.2389226     4.0941728      -0.2098757   8.1068e-01  3.76017       AF     
  5.5787826      1.1360075      4.0941728      -0.3052427   7.3694e-01  3.72165       AM     
  6.8897802      1.3109976      4.0941728      -0.3559078   7.0054e-01  3.68353       AM     
  4.3398400      -2.5499402     4.0941728      -0.3559078   7.0054e-01  3.64580       AF     
  4.3398400      0.9383883      4.0941728      -0.2600526   7.7101e-01  3.60846       RM     
  5.5728105      1.2329705      4.0941728      -0.3452254   7.0806e-01  3.57149       AM     
