######################
### Initial Values ###
######################
 
Initial temp = 10.0
Initial RMSE =      1.3477545
 
Lets see how it goes!
 
--------------------------------------------------------------------------------------------------------------
     RMSE         delRMSE        BestRMSE     MP_Exponent    MP_Value   MCSA_Temp   decision  
  1.3493600      -0.0634048     1.3069032      -0.0163300   9.8380e-01  4.91435       AF     
  1.3787280      0.0293680      1.3069032      -0.0060378   9.9398e-01  4.86402       AM     
  1.3513422      -0.0273858     1.3069032      -0.0060378   9.9398e-01  4.81419       AF     
  1.3803709      0.0290287      1.3069032      -0.0060922   9.9393e-01  4.76488       AM     
  1.3607334      -0.0196376     1.3069032      -0.0060922   9.9393e-01  4.71607       AF     
  1.3202683      -0.0404650     1.3069032      -0.0060922   9.9393e-01  4.66776       AF     
  1.3129691      -0.0072992     1.3069032      -0.0060922   9.9393e-01  4.61995       AF     
  1.3129691      0.0629268      1.3069032      -0.0137616   9.8633e-01  4.57263       RM     
  1.3313381      0.0183690      1.3069032      -0.0040587   9.9595e-01  4.52579       AM     
  1.3250424      -0.0062957     1.3069032      -0.0040587   9.9595e-01  4.47943       AF     
  1.3417221      0.0166797      1.3069032      -0.0037622   9.9624e-01  4.43355       AM     
  1.3251428      -0.0165793     1.3069032      -0.0037622   9.9624e-01  4.38813       AF     
  1.3215165      -0.0036262     1.3069032      -0.0037622   9.9624e-01  4.34319       AF     
  1.3363388      0.0148223      1.3069032      -0.0034481   9.9656e-01  4.29870       AM     
  1.4011666      0.0648278      1.3069032      -0.0152369   9.8488e-01  4.25467       AM     
  1.3196079      -0.0815588     1.3069032      -0.0152369   9.8488e-01  4.21108       AF     
  1.3537441      0.0341362      1.3069032      -0.0081902   9.9184e-01  4.16795       AM     
  1.4043067      0.0505626      1.3069032      -0.0122568   9.8782e-01  4.12526       AM     
  1.3070882      -0.0972186     1.3069032      -0.0122568   9.8782e-01  4.08300       AF     
  1.3383848      0.0312966      1.3069032      -0.0077444   9.9229e-01  4.04118       AM     
  1.3628838      0.0244991      1.3069032      -0.0061251   9.9389e-01  3.99978       AM     
  1.3104222      -0.0524617     1.3069032      -0.0061251   9.9389e-01  3.95881       AF     
  1.3561301      0.0457079      1.3069032      -0.0116654   9.8840e-01  3.91826       AM     
  1.3574663      0.0013362      1.3069032      -0.0003445   9.9966e-01  3.87813       AM     
  1.3828099      0.0253436      1.3069032      -0.0066027   9.9342e-01  3.83840       AM     
  1.3589042      -0.0239057     1.3069032      -0.0066027   9.9342e-01  3.79908       AF     
  1.3602424      0.0013382      1.3069032      -0.0003559   9.9964e-01  3.76017       AM     
  1.3665154      0.0062729      1.3069032      -0.0016855   9.9832e-01  3.72165       AM     
  1.3438662      -0.0226492     1.3069032      -0.0016855   9.9832e-01  3.68353       AF     
  1.3306698      -0.0131964     1.3069032      -0.0016855   9.9832e-01  3.64580       AF     
  1.3455476      0.0148778      1.3069032      -0.0041230   9.9589e-01  3.60846       AM     
  1.3054736      -0.0400740     1.3054736      -0.0041230   9.9589e-01  3.57149       AF     
  1.3264240      0.0209503      1.3054736      -0.0059267   9.9409e-01  3.53491       AM     
  1.3361284      0.0097045      1.3054736      -0.0027737   9.9723e-01  3.49870       AM     
  1.3764313      0.0403029      1.3054736      -0.0116386   9.8843e-01  3.46286       AM     
  1.3751203      -0.0013110     1.3054736      -0.0116386   9.8843e-01  3.42739       AF     
  1.3740867      -0.0010336     1.3054736      -0.0116386   9.8843e-01  3.39229       AF     
  1.3212711      -0.0528156     1.3054736      -0.0116386   9.8843e-01  3.35754       AF     
  1.3629028      0.0416317      1.3054736      -0.0125278   9.8755e-01  3.32315       AM     
  1.3614979      -0.0014049     1.3054736      -0.0125278   9.8755e-01  3.28911       AF     
  1.3869934      0.0254955      1.3054736      -0.0078317   9.9220e-01  3.25542       AM     
  1.3386656      -0.0483278     1.3054736      -0.0078317   9.9220e-01  3.22207       AF     
  1.3281955      -0.0104701     1.3054736      -0.0078317   9.9220e-01  3.18907       AF     
  1.3284630      0.0002675      1.3054736      -0.0000847   9.9992e-01  3.15640       AM     
  1.3239788      -0.0044841     1.3054736      -0.0000847   9.9992e-01  3.12407       AF     
  1.3607014      0.0367226      1.3054736      -0.0118764   9.8819e-01  3.09207       AM     
  1.3709329      0.0102315      1.3054736      -0.0033432   9.9666e-01  3.06039       AM     
  1.3627463      -0.0081866     1.3054736      -0.0033432   9.9666e-01  3.02905       AF     
  1.3583075      -0.0044388     1.3054736      -0.0033432   9.9666e-01  2.99802       AF     
  1.3843247      0.0260172      1.3054736      -0.0087680   9.9127e-01  2.96731       AM     
  1.3528560      -0.0314688     1.3054736      -0.0087680   9.9127e-01  2.93692       AF     
  1.3910130      0.0381571      1.3054736      -0.0131267   9.8696e-01  2.90683       AM     
  1.3690163      -0.0219967     1.3054736      -0.0131267   9.8696e-01  2.87706       AF     
  1.3930199      0.0240036      1.3054736      -0.0084295   9.9161e-01  2.84759       AM     
  1.3271816      -0.0658384     1.3054736      -0.0084295   9.9161e-01  2.81842       AF     
  1.3457799      0.0185983      1.3054736      -0.0066671   9.9336e-01  2.78955       AM     
  1.3611746      0.0153947      1.3054736      -0.0055758   9.9444e-01  2.76097       AM     
  1.3610155      -0.0001590     1.3054736      -0.0055758   9.9444e-01  2.73269       AF     
  1.3863827      0.0253671      1.3054736      -0.0093789   9.9066e-01  2.70470       AM     
  1.3241537      -0.0622290     1.3054736      -0.0093789   9.9066e-01  2.67700       AF     
  1.3230924      -0.0010613     1.3054736      -0.0093789   9.9066e-01  2.64958       AF     
  1.3346217      0.0115293      1.3054736      -0.0043964   9.9561e-01  2.62244       AM     
  1.3644314      0.0298098      1.3054736      -0.0114849   9.8858e-01  2.59557       AM     
  1.3547752      -0.0096562     1.3054736      -0.0114849   9.8858e-01  2.56899       AF     
  1.3828746      0.0280994      1.3054736      -0.0110511   9.8901e-01  2.54267       AM     
  1.3302726      -0.0526020     1.3054736      -0.0110511   9.8901e-01  2.51663       AF     
  1.3329019      0.0026293      1.3054736      -0.0010556   9.9894e-01  2.49085       AM     
  1.3501442      0.0172423      1.3054736      -0.0069939   9.9303e-01  2.46533       AM     
  1.3445415      -0.0056027     1.3054736      -0.0069939   9.9303e-01  2.44008       AF     
  1.3829956      0.0384541      1.3054736      -0.0159224   9.8420e-01  2.41509       AM     
  1.3390607      -0.0439349     1.3054736      -0.0159224   9.8420e-01  2.39035       AF     
  1.3578878      0.0188271      1.3054736      -0.0079578   9.9207e-01  2.36586       AM     
  1.3778073      0.0199196      1.3054736      -0.0085067   9.9153e-01  2.34163       AM     
  1.3932367      0.0154294      1.3054736      -0.0066573   9.9336e-01  2.31765       AM     
  1.3762972      -0.0169395     1.3054736      -0.0066573   9.9336e-01  2.29391       AF     
  1.3849525      0.0086553      1.3054736      -0.0038122   9.9620e-01  2.27041       AM     
  1.3876795      0.0027270      1.3054736      -0.0012136   9.9879e-01  2.24715       AM     
  1.3582077      -0.0294718     1.3054736      -0.0012136   9.9879e-01  2.22413       AF     
  1.3205110      -0.0376967     1.3054736      -0.0012136   9.9879e-01  2.20135       AF     
  1.3455154      0.0250044      1.3054736      -0.0114762   9.8859e-01  2.17880       AM     
  1.3152535      -0.0302619     1.3054736      -0.0114762   9.8859e-01  2.15648       AF     
  1.3162196      0.0009661      1.3054736      -0.0004526   9.9955e-01  2.13440       AM     
  1.3159339      -0.0002857     1.3054736      -0.0004526   9.9955e-01  2.11253       AF     
  1.3204766      0.0045427      1.3054736      -0.0021726   9.9783e-01  2.09089       AM     
  1.3587150      0.0382383      1.3054736      -0.0184773   9.8169e-01  2.06948       AM     
  1.3663115      0.0075965      1.3054736      -0.0037087   9.9630e-01  2.04828       AM     
  1.3426459      -0.0236656     1.3054736      -0.0037087   9.9630e-01  2.02730       AF     
  1.3149292      -0.0277167     1.3054736      -0.0037087   9.9630e-01  2.00653       AF     
  1.3439954      0.0290662      1.3054736      -0.0146357   9.8547e-01  1.98598       AM     
  1.3180413      -0.0259541     1.3054736      -0.0146357   9.8547e-01  1.96564       AF     
  1.3335145      0.0154732      1.3054736      -0.0079533   9.9208e-01  1.94550       AM     
  1.3575414      0.0240270      1.3054736      -0.0124778   9.8760e-01  1.92557       AM     
  1.3441640      -0.0133775     1.3054736      -0.0124778   9.8760e-01  1.90585       AF     
